Codi,Any,Data,Nom del festiu
F2011-G001,2011,01/01/2011,Cap d'Any
F2011-G002,2011,06/01/2011,Reis
F2011-G003,2011,22/04/2011,Divendres Sant
F2011-G004,2011,25/04/2011,Dilluns de Pasqua Florida
F2011-G005,2011,13/06/2011,Dilluns de Pasqua Granada
F2011-G006,2011,24/06/2011,Sant Joan
F2011-G007,2011,15/08/2011,L'Assumpció
F2011-G008,2011,12/10/2011,Festa Nacional d'Espanya
F2011-G009,2011,01/11/2011,Tots Sants
F2011-G010,2011,06/12/2011,Dia de la Constitució
F2011-G011,2011,08/12/2011,La Immaculada
F2011-G012,2011,26/12/2011,Sant Esteve
F2012-G001,2012,06/01/2012,Reis
F2012-G002,2012,06/04/2012,Divendres Sant
F2012-G003,2012,09/04/2012,Dilluns de Pasqua Florida
F2012-G004,2012,01/05/2012,Festa del Treball
F2012-G005,2012,15/08/2012,L'Assumpció
F2012-G006,2012,11/09/2012,Diada Nacional de Catalunya
F2012-G007,2012,12/10/2012,Festa Nacional d'Espanya
F2012-G008,2012,01/11/2012,Tots Sants
F2012-G009,2012,06/12/2012,Dia de la Constitució
F2012-G010,2012,08/12/2012,La Immaculada
F2012-G011,2012,25/12/2012,Nadal
F2012-G012,2012,26/12/2012,Sant Esteve
F2013-G001,2013,01/01/2013,Cap d'Any
F2013-G002,2013,29/03/2013,Divendres Sant
F2013-G003,2013,01/04/2013,Dilluns de Pasqua
F2013-G004,2013,01/05/2013,Festa del treball
F2013-G005,2013,24/06/2013,Sant Joan
F2013-G006,2013,15/08/2013,L'Assumpció
F2013-G007,2013,11/09/2013,Diada Nacional de Catalunya
F2013-G008,2013,12/10/2013,Festa Nacional d'Espanya
F2013-G009,2013,01/11/2013,Tots Sants
F2013-G010,2013,06/12/2013,Dia de la Constitució
F2013-G011,2013,25/12/2013,Nadal
F2013-G012,2013,26/12/2013,Sant Esteve
F2014-G001,2014,01/01/2014,Cap d'Any
F2014-G002,2014,06/01/2014,Reis
F2014-G003,2014,18/04/2014,Divendres Sant
F2014-G004,2014,21/04/2014,Dilluns de Pasqua
F2014-G005,2014,01/05/2014,Festa del treball
F2014-G006,2014,24/06/2014,Sant Joan
F2014-G007,2014,15/08/2014,L'Assumpció
F2014-G008,2014,11/09/2014,Diada Nacional de Catalunya
F2014-G009,2014,01/11/2014,Tots Sants
F2014-G010,2014,06/12/2014,Dia de la Constitució
F2014-G011,2014,08/12/2014,La Immaculada
F2014-G012,2014,25/12/2014,Nadal
F2014-G013,2014,26/12/2014,Sant Esteve
F2015-G001,2015,01/01/2015,Cap d'Any
F2015-G002,2015,06/01/2015,Reis
F2015-G003,2015,03/04/2015,Divendres Sant
F2015-G004,2015,06/04/2015,Dilluns de Pasqua Florida
F2015-G005,2015,01/05/2015,Festa del Treball
F2015-G006,2015,24/06/2015,Sant Joan
F2015-G007,2015,15/08/2015,L'Assumpció
F2015-G008,2015,11/09/2015,Diada Nacinal Catalunya
F2015-G009,2015,12/10/2015,Festa Nacional d'Espanya
F2015-G010,2015,08/12/2015,La Immaculada
F2015-G011,2015,25/12/2015,Nadal
F2015-G012,2015,26/12/2015,Sant Esteve
F2016-G001,2016,01/01/2016,Any Nou
F2016-G002,2016,06/01/2016,Reis
F2016-G003,2016,25/03/2016,Divendres Sant
F2016-G004,2016,28/03/2016,Dilluns de Pasqua Florida
F2016-G005,2016,16/05/2016,Dilluns de Pasqua Granada
F2016-G006,2016,24/06/2016,Sant Joan
F2016-G007,2016,15/08/2016,L'Assumpció
F2016-G008,2016,12/10/2016,Festa Nacional d'Espanya
F2016-G009,2016,01/11/2016,Tots Sants
F2016-G010,2016,06/12/2016,Dia de la Constitució
F2016-G011,2016,08/12/2016,La Immaculada
F2016-G012,2016,26/12/2016,Sant Esteve
F2017-G001,2017,06/01/2017,Reis
F2017-G002,2017,14/04/2017,Divendres Sant
F2017-G003,2017,17/04/2017,Dilluns de Pasqua Florida
F2017-G004,2017,01/05/2017,Festa del Treball
F2017-G005,2017,24/06/2017,Sant Joan
F2017-G006,2017,15/08/2017,L'Assumpció
F2017-G007,2017,11/09/2017,Diada Nacional de Catalunya
F2017-G008,2017,12/10/2017,Festa Nacional d'Espanya
F2017-G009,2017,01/11/2017,Tots Sants
F2017-G010,2017,06/12/2017,Dia de la Constitució
F2017-G011,2017,08/12/2017,La Immaculada
F2017-G012,2017,25/12/2017,Nadal
F2017-G013,2017,26/12/2017,Sant Esteve
