,Distribución por fuente de ingresos,Periodo,Total,cod_mun,nom_mun,Total_num
2916,Renta bruta media por persona,2020,"15.014,0",08015,Badalona,15014.0
2917,Renta bruta media por persona,2019,"14.885,0",08015,Badalona,14885.0
2922,Fuente de ingreso: salario,2020,"9.079,0",08015,Badalona,9079.0
2923,Fuente de ingreso: salario,2019,"9.511,0",08015,Badalona,9511.0
2928,Fuente de ingreso: pensiones,2020,"3.198,0",08015,Badalona,3198.0
2929,Fuente de ingreso: pensiones,2019,"3.097,0",08015,Badalona,3097.0
2934,Fuente de ingreso: prestaciones por desempleo,2020,"780,0",08015,Badalona,780.0
2935,Fuente de ingreso: prestaciones por desempleo,2019,"262,0",08015,Badalona,262.0
2940,Fuente de ingreso: otras prestaciones,2020,"758,0",08015,Badalona,758.0
2941,Fuente de ingreso: otras prestaciones,2019,"705,0",08015,Badalona,705.0
2946,Fuente de ingreso: otros ingresos,2020,"1.200,0",08015,Badalona,1200.0
2947,Fuente de ingreso: otros ingresos,2019,"1.310,0",08015,Badalona,1310.0
9036,Renta bruta media por persona,2020,"21.413,0",08019,Barcelona,21413.0
9037,Renta bruta media por persona,2019,"21.668,0",08019,Barcelona,21668.0
9042,Fuente de ingreso: salario,2020,"12.244,0",08019,Barcelona,12244.0
9043,Fuente de ingreso: salario,2019,"12.787,0",08019,Barcelona,12787.0
9048,Fuente de ingreso: pensiones,2020,"4.227,0",08019,Barcelona,4227.0
9049,Fuente de ingreso: pensiones,2019,"4.091,0",08019,Barcelona,4091.0
9054,Fuente de ingreso: prestaciones por desempleo,2020,"794,0",08019,Barcelona,794.0
9055,Fuente de ingreso: prestaciones por desempleo,2019,"232,0",08019,Barcelona,232.0
9060,Fuente de ingreso: otras prestaciones,2020,"734,0",08019,Barcelona,734.0
9061,Fuente de ingreso: otras prestaciones,2019,"687,0",08019,Barcelona,687.0
9066,Fuente de ingreso: otros ingresos,2020,"3.413,0",08019,Barcelona,3413.0
9067,Fuente de ingreso: otros ingresos,2019,"3.871,0",08019,Barcelona,3871.0
47880,Renta bruta media por persona,2020,"23.361,0",08020,Begues,23361.0
47881,Renta bruta media por persona,2019,"23.656,0",08020,Begues,23656.0
47886,Fuente de ingreso: salario,2020,"15.683,0",08020,Begues,15683.0
47887,Fuente de ingreso: salario,2019,"16.036,0",08020,Begues,16036.0
47892,Fuente de ingreso: pensiones,2020,"2.930,0",08020,Begues,2930.0
47893,Fuente de ingreso: pensiones,2019,"3.018,0",08020,Begues,3018.0
47898,Fuente de ingreso: prestaciones por desempleo,2020,"786,0",08020,Begues,786.0
47899,Fuente de ingreso: prestaciones por desempleo,2019,"228,0",08020,Begues,228.0
47904,Fuente de ingreso: otras prestaciones,2020,"663,0",08020,Begues,663.0
47905,Fuente de ingreso: otras prestaciones,2019,"621,0",08020,Begues,621.0
47910,Fuente de ingreso: otros ingresos,2020,"3.300,0",08020,Begues,3300.0
47911,Fuente de ingreso: otros ingresos,2019,"3.752,0",08020,Begues,3752.0
55368,Renta bruta media por persona,2020,"20.373,0",08056,Castelldefels,20373.0
55369,Renta bruta media por persona,2019,"20.540,0",08056,Castelldefels,20540.0
55374,Fuente de ingreso: salario,2020,"13.263,0",08056,Castelldefels,13263.0
55375,Fuente de ingreso: salario,2019,"13.951,0",08056,Castelldefels,13951.0
55380,Fuente de ingreso: pensiones,2020,"2.682,0",08056,Castelldefels,2682.0
55381,Fuente de ingreso: pensiones,2019,"2.564,0",08056,Castelldefels,2564.0
55386,Fuente de ingreso: prestaciones por desempleo,2020,"892,0",08056,Castelldefels,892.0
55387,Fuente de ingreso: prestaciones por desempleo,2019,"246,0",08056,Castelldefels,246.0
55392,Fuente de ingreso: otras prestaciones,2020,"663,0",08056,Castelldefels,663.0
55393,Fuente de ingreso: otras prestaciones,2019,"601,0",08056,Castelldefels,601.0
55398,Fuente de ingreso: otros ingresos,2020,"2.873,0",08056,Castelldefels,2873.0
55399,Fuente de ingreso: otros ingresos,2019,"3.177,0",08056,Castelldefels,3177.0
59292,Renta bruta media por persona,2020,"15.459,0",08073,Cornellà de Llobregat,15459.0
59293,Renta bruta media por persona,2019,"15.341,0",08073,Cornellà de Llobregat,15341.0
59298,Fuente de ingreso: salario,2020,"9.632,0",08073,Cornellà de Llobregat,9632.0
59299,Fuente de ingreso: salario,2019,"10.078,0",08073,Cornellà de Llobregat,10078.0
59304,Fuente de ingreso: pensiones,2020,"3.154,0",08073,Cornellà de Llobregat,3154.0
59305,Fuente de ingreso: pensiones,2019,"3.068,0",08073,Cornellà de Llobregat,3068.0
