,cod_mun,nom_mun,Periodo,Distribución de la renta P80/P20,Índice de Gini
84,08015,Badalona,2015,"2,9","32,7"
85,08015,Badalona,2016,"2,7","32,4"
86,08015,Badalona,2017,"2,8","31,4"
87,08015,Badalona,2018,"2,7","30,8"
88,08015,Badalona,2019,"2,8","30,5"
89,08015,Badalona,2020,"2,8","30,9"
108,08019,Barcelona,2015,"3,2","36,8"
109,08019,Barcelona,2016,"3,3","37,0"
110,08019,Barcelona,2017,"3,1","36,4"
111,08019,Barcelona,2018,"3,2","36,2"
112,08019,Barcelona,2019,"3,1","35,8"
113,08019,Barcelona,2020,"3,1","35,7"
114,08020,Begues,2015,"2,7","32,5"
115,08020,Begues,2016,"2,6","32,0"
116,08020,Begues,2017,"2,6","31,9"
117,08020,Begues,2018,"2,6","31,7"
118,08020,Begues,2019,"2,5","31,9"
119,08020,Begues,2020,"2,4","30,4"
330,08056,Castelldefels,2015,"3,1","37,1"
331,08056,Castelldefels,2016,"3,2","37,1"
332,08056,Castelldefels,2017,"3,1","36,2"
333,08056,Castelldefels,2018,"3,0","35,9"
334,08056,Castelldefels,2019,"3,1","35,7"
335,08056,Castelldefels,2020,"3,1","35,1"
432,08073,Cornellà de Llobregat,2015,"2,7","30,5"
433,08073,Cornellà de Llobregat,2016,"2,8","30,5"
434,08073,Cornellà de Llobregat,2017,"2,6","29,3"
435,08073,Cornellà de Llobregat,2018,"2,5","28,9"
436,08073,Cornellà de Llobregat,2019,"2,5","28,7"
437,08073,Cornellà de Llobregat,2020,"2,7","29,2"
456,08077,Esplugues de Llobregat,2015,"2,7","33,9"
457,08077,Esplugues de Llobregat,2016,"2,8","33,9"
458,08077,Esplugues de Llobregat,2017,"2,7","33,2"
459,08077,Esplugues de Llobregat,2018,"2,7","32,8"
460,08077,Esplugues de Llobregat,2019,"2,5","32,3"
461,08077,Esplugues de Llobregat,2020,"2,7","32,3"
528,08089,Gavà,2015,"2,8","33,1"
529,08089,Gavà,2016,"2,7","32,8"
530,08089,Gavà,2017,"2,7","31,9"
531,08089,Gavà,2018,"2,6","31,3"
532,08089,Gavà,2019,"2,6","30,8"
533,08089,Gavà,2020,"2,6","31,0"
600,08101,"Hospitalet de Llobregat, L'",2015,"3,0","32,6"
601,08101,"Hospitalet de Llobregat, L'",2016,"3,1","32,5"
602,08101,"Hospitalet de Llobregat, L'",2017,"2,8","31,5"
603,08101,"Hospitalet de Llobregat, L'",2018,"2,8","30,9"
604,08101,"Hospitalet de Llobregat, L'",2019,"2,6","30,6"
605,08101,"Hospitalet de Llobregat, L'",2020,"2,8","31,1"
624,08105,"Llagosta, La",2015,"2,4","28,3"
625,08105,"Llagosta, La",2016,"2,4","28,7"
626,08105,"Llagosta, La",2017,"2,4","27,7"
627,08105,"Llagosta, La",2018,"2,3","27,1"
628,08105,"Llagosta, La",2019,"2,4","26,4"
629,08105,"Llagosta, La",2020,"2,4","26,6"
744,08125,Montcada i Reixac,2015,"2,7","31,4"
