,cod_mun,nom_mun,Periodo,Edad media de la población,Porcentaje de hogares unipersonales,Porcentaje de población de 65 y más años,Porcentaje de población española,Porcentaje de población menor de 18 años,Tamaño medio del hogar
84,08015,Badalona,2015,"41,6","23,4","17,9","87,9","18,7","3,00"
85,08015,Badalona,2016,"41,8","23,3","18,3","87,9","18,8","3,00"
86,08015,Badalona,2017,"41,9","23,7","18,5","87,3","18,8","3,00"
87,08015,Badalona,2018,"42,0","22,8","18,8","86,2","18,6","3,00"
88,08015,Badalona,2019,"42,2","22,8","18,9","84,9","18,5","3,00"
89,08015,Badalona,2020,"42,4","23,2","19,2","84,6","18,3","3,00"
108,08019,Barcelona,2015,"44,0","31,3","21,6","83,5","15,0","2,00"
109,08019,Barcelona,2016,"44,1","31,6","21,7","82,4","15,2","2,00"
110,08019,Barcelona,2017,"44,1","32,9","21,6","81,9","15,1","2,00"
111,08019,Barcelona,2018,"44,1","32,6","21,5","80,4","15,0","2,00"
112,08019,Barcelona,2019,"44,1","32,2","21,5","78,4","14,9","2,00"
113,08019,Barcelona,2020,"44,3","32,6","21,5","78,7","14,6","2,00"
114,08020,Begues,2015,"38,3","16,6","11,7","94,7","23,5","3,00"
115,08020,Begues,2016,"38,7","16,6","12,3","94,5","23,3","3,00"
116,08020,Begues,2017,"38,9","17,3","12,6","94,1","22,9","3,00"
117,08020,Begues,2018,"39,2","17,2","13,0","93,6","22,6","3,00"
118,08020,Begues,2019,"39,3","16,8","13,4","92,6","22,5","3,00"
119,08020,Begues,2020,"39,9","17,2","13,7","92,8","21,8","3,00"
330,08056,Castelldefels,2015,"39,3","23,2","13,6","81,4","20,2","3,00"
331,08056,Castelldefels,2016,"39,6","22,5","13,8","81,0","20,2","3,00"
332,08056,Castelldefels,2017,"40,0","23,0","14,2","80,2","20,0","3,00"
333,08056,Castelldefels,2018,"40,2","22,7","14,4","79,3","19,8","3,00"
334,08056,Castelldefels,2019,"40,5","22,7","14,7","78,7","19,6","3,00"
335,08056,Castelldefels,2020,"40,9","23,2","15,1","78,7","19,2","3,00"
432,08073,Cornellà de Llobregat,2015,"42,3","23,1","19,9","86,8","18,1","3,00"
433,08073,Cornellà de Llobregat,2016,"42,4","23,1","19,9","86,6","18,1","3,00"
434,08073,Cornellà de Llobregat,2017,"42,6","23,4","20,0","86,1","18,0","3,00"
435,08073,Cornellà de Llobregat,2018,"42,7","23,4","19,8","85,1","17,8","3,00"
436,08073,Cornellà de Llobregat,2019,"42,8","24,0","19,8","84,0","17,6","3,00"
437,08073,Cornellà de Llobregat,2020,"43,1","24,9","19,9","84,3","17,3","3,00"
456,08077,Esplugues de Llobregat,2015,"43,7","22,0","21,7","89,8","16,7","3,00"
457,08077,Esplugues de Llobregat,2016,"43,9","22,0","22,2","89,7","16,9","3,00"
458,08077,Esplugues de Llobregat,2017,"44,0","21,9","22,4","89,0","16,9","3,00"
459,08077,Esplugues de Llobregat,2018,"44,1","22,0","22,7","88,2","16,8","3,00"
460,08077,Esplugues de Llobregat,2019,"44,3","22,0","23,0","87,4","16,8","3,00"
461,08077,Esplugues de Llobregat,2020,"44,6","22,7","23,2","87,3","16,7","3,00"
528,08089,Gavà,2015,"40,9","21,8","16,6","90,7","19,7","3,00"
529,08089,Gavà,2016,"41,0","21,5","16,7","90,4","19,9","3,00"
530,08089,Gavà,2017,"41,3","21,9","17,0","90,0","19,8","3,00"
