,nom_mun,cod_mun,Renta neta media por hogar,rank
0,Badalona,08015,33689.0,1
1,Barcelona,08019,40424.0,2
2,Begues,08020,53813.0,4
3,Castelldefels,08056,43718.0,4
4,Cornellà de Llobregat,08073,33806.0,1
5,Esplugues de Llobregat,08077,41369.0,3
6,Gavà,08089,39233.0,2
7,"Hospitalet de Llobregat, L'",08101,31358.0,1
8,"Llagosta, La",08105,31718.0,1
9,Montcada i Reixac,08125,34324.0,2
10,Montgat,08126,40530.0,3
11,Pallejà,08157,43388.0,4
12,"Papiol, El",08158,39398.0,2
13,Ripollet,08180,33645.0,1
14,Sabadell,08187,35249.0,2
15,Sant Adrià de Besòs,08194,31090.0,1
16,Sant Boi de Llobregat,08200,35370.0,2
17,Sant Climent de Llobregat,08204,42488.0,3
18,Sant Cugat del Vallès,08205,64848.0,4
19,Sant Feliu de Llobregat,08211,40464.0,3
20,Sant Joan Despí,08217,43031.0,3
21,Sant Just Desvern,08221,57804.0,4
22,Santa Coloma de Cervelló,08244,46058.0,4
23,Santa Coloma de Gramenet,08245,29891.0,1
24,Cerdanyola del Vallès,08266,41078.0,3
25,Sitges,08270,42710.0,3
26,Tiana,08282,57159.0,4
27,Torrelles de Llobregat,08289,44812.0,4
28,Viladecans,08301,37205.0,2
29,Badia del Vallès,08904,28239.0,1
